,idcode,age,race,married,never_married,grade,collgrad,south,smsa,c_city,industry,occupation,union,wage,hours,ttl_exp,tenure,south_city
28,54,40,White,Single,Never married,12,Not college grad,Not south,SMSA,Central city,Professional services,Laborers,Nonunion,5.03,55,10,0.75,Not south & Central city
29,57,42,White,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Wholesale/Retail trade,Sales,Nonunion,5.78,40,13,7.25,Not south & Central city
30,62,38,White,Married,Has been married,10,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,5.11,40,7,5.92,Not south & Not central city
31,63,44,White,Single,Has been married,15,College grad,Not south,SMSA,Central city,Professional services,Professional/Technical,Union,25.16,18,10,2.08,Not south & Central city
32,64,38,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Laborers,Union,4.4,30,7,3.33,Not south & Not central city
33,66,39,White,Married,Has been married,13,Not college grad,Not south,SMSA,Central city,Wholesale/Retail trade,Clerical/Unskilled,Nonunion,4.71,9,11,9.75,Not south & Central city
34,67,40,White,Married,Has been married,15,Not college grad,Not south,Not SMSA,Not central city,Professional services,Professional/Technical,Nonunion,8.05,24,11,3.17,Not south & Not central city
35,70,36,White,Married,Has been married,13,Not college grad,Not south,Not SMSA,Not central city,Transport/Comm/Utility,Sales,Nonunion,16.74,38,16,16.08,Not south & Not central city
36,71,34,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Manufacturing,Sales,Nonunion,5.72,38,11,2.5,Not south & Not central city
37,72,36,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,Union,7.46,40,9,1.08,Not south & Not central city
38,73,36,White,Single,Never married,14,Not college grad,Not south,Not SMSA,Not central city,Manufacturing,Sales,NotMentioned,6.79,40,14,0.5,Not south & Not central city
39,75,39,Black,Single,Has been married,11,Not college grad,Not south,Not SMSA,Not central city,Manufacturing,Operatives,Union,12.5,40,14,9.33,Not south & Not central city
40,78,40,White,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Finance/Ins/Real estate,Sales,Nonunion,17.7,35,16,9.08,Not south & Central city
41,80,45,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,Nonunion,12.08,8,6,0.0,Not south & Not central city
42,85,38,White,Single,Has been married,11,Not college grad,Not south,SMSA,Central city,Manufacturing,Sales,NotMentioned,9.41,40,6,1.5,Not south & Central city
43,86,44,White,Single,Never married,17,College grad,Not south,SMSA,Not central city,Entertainment/Rec svc,Laborers,Union,13.17,44,16,1.25,Not south & Not central city
44,103,36,White,Married,Has been married,18,College grad,Not south,SMSA,Central city,Professional services,Other,Union,11.06,35,10,0.0,Not south & Central city
45,104,41,White,Married,Has been married,17,College grad,Not south,SMSA,Not central city,Professional services,Other,Nonunion,3.74,18,9,2.75,Not south & Not central city
46,105,41,White,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,4.03,8,9,5.58,Not south & Not central city
47,106,38,Black,Single,Has been married,12,Not college grad,South,SMSA,Central city,Public administration,Sales,Nonunion,10.84,40,17,17.42,South & Central city
48,107,43,Black,Single,Has been married,8,Not college grad,Not south,SMSA,Central city,Manufacturing,Operatives,Union,4.35,40,8,1.08,Not south & Central city
49,110,45,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,Union,4.71,20,7,2.58,Not south & Not central city
50,121,39,Black,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Transport/Comm/Utility,Sales,Union,9.73,38,21,20.67,Not south & Central city
51,123,41,Other,Single,Has been married,6,Not college grad,Not south,SMSA,Central city,Business/Repair svc,Operatives,Union,2.9,37,7,0.75,Not south & Central city
52,126,39,Black,Single,Has been married,12,Not college grad,Not south,SMSA,Central city,Professional services,Professional/Technical,Nonunion,10.06,40,20,19.75,Not south & Central city
53,128,36,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Professional/Technical,Nonunion,8.52,40,19,19.0,Not south & Not central city
54,129,43,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,Nonunion,8.49,37,14,10.17,Not south & Not central city
55,130,43,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Sales,Nonunion,5.6,40,6,0.67,Not south & Not central city
56,131,41,White,Single,Has been married,12,Not college grad,Not south,SMSA,Central city,Professional services,Sales,Union,4.23,38,12,0.25,Not south & Central city
57,132,36,White,Single,Has been married,10,Not college grad,Not south,SMSA,Central city,Manufacturing,Operatives,Nonunion,5.62,43,10,2.67,Not south & Central city
58,134,42,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Public administration,Managers/Admin,Nonunion,4.65,30,6,1.5,Not south & Not central city
59,137,36,Black,Married,Has been married,17,College grad,Not south,SMSA,Not central city,Professional services,Other,Union,15.48,30,10,9.83,Not south & Not central city
60,139,44,Black,Single,Has been married,9,Not college grad,Not south,SMSA,Central city,Professional services,Sales,Union,4.83,35,9,8.5,Not south & Central city
61,141,43,White,Single,Has been married,14,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,NotMentioned,40.2,40,13,1.17,Not south & Not central city
62,142,43,White,Married,Has been married,18,College grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Union,15.48,40,15,5.75,Not south & Not central city
63,143,37,White,Married,Has been married,15,Not college grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,10.03,40,7,0.58,Not south & Not central city
64,144,43,White,Married,Has been married,10,Not college grad,South,SMSA,Not central city,Ag/Forestry/Fisheries,Sales,Nonunion,3.62,40,14,0.33,South & Not central city
65,147,40,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Clerical/Unskilled,Nonunion,9.3,20,8,3.08,Not south & Not central city
66,152,37,White,Married,Has been married,18,College grad,Not south,SMSA,Not central city,Professional services,Other,Union,10.22,50,14,4.83,Not south & Not central city
67,159,36,White,Married,Has been married,11,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Clerical/Unskilled,Nonunion,10.01,37,17,17.33,Not south & Not central city
68,166,38,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Professional services,Other,Nonunion,4.23,4,11,1.08,Not south & Not central city
69,167,37,White,Married,Has been married,13,Not college grad,South,Not SMSA,Not central city,Construction,Sales,Nonunion,4.83,25,17,7.5,South & Not central city
70,168,41,White,Married,Has been married,17,College grad,South,SMSA,Not central city,Professional services,Other,Nonunion,7.75,40,11,3.83,South & Not central city
71,169,36,White,Single,Has been married,16,College grad,Not south,SMSA,Not central city,Professional services,Other,Union,9.85,37,15,14.83,Not south & Not central city
72,172,44,White,Married,Has been married,15,College grad,Not south,SMSA,Central city,Professional services,Professional/Technical,Nonunion,10.87,30,18,3.42,Not south & Central city
73,173,43,Black,Single,Has been married,12,Not college grad,Not south,SMSA,Central city,Personal services,Transport,NotMentioned,3.22,35,12,2.92,Not south & Central city
74,176,38,Black,Single,Never married,12,Not college grad,Not south,SMSA,Central city,Public administration,Professional/Technical,Union,8.16,40,13,3.5,Not south & Central city
75,183,43,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Managers/Admin,Union,8.45,40,17,13.25,Not south & Not central city
76,184,41,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,Nonunion,8.29,40,14,12.08,Not south & Not central city
77,188,41,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Sales,Union,9.68,40,13,8.42,Not south & Not central city
78,195,36,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Ag/Forestry/Fisheries,Sales,Nonunion,4.53,40,13,2.17,Not south & Not central city
79,202,36,White,Single,Has been married,14,Not college grad,South,Not SMSA,Not central city,Wholesale/Retail trade,Laborers,NotMentioned,3.34,30,12,0.25,South & Not central city
80,203,41,White,Married,Has been married,11,Not college grad,South,SMSA,Central city,Finance/Ins/Real estate,Clerical/Unskilled,Nonunion,8.45,24,19,3.17,South & Central city
81,204,38,Black,Married,Has been married,10,Not college grad,Not south,SMSA,Central city,Wholesale/Retail trade,Managers/Admin,Nonunion,6.04,40,6,4.0,Not south & Central city
82,206,37,White,Married,Has been married,14,Not college grad,Not south,SMSA,Central city,Professional services,Professional/Technical,Nonunion,10.32,18,10,1.33,Not south & Central city
83,207,38,Black,Single,Never married,18,College grad,Not south,SMSA,Central city,Professional services,Professional/Technical,Union,11.61,50,13,2.08,Not south & Central city
84,210,37,Black,Single,Has been married,11,Not college grad,Not south,SMSA,Not central city,Manufacturing,Operatives,NotMentioned,5.02,40,16,10.92,Not south & Not central city
85,213,43,White,Single,Has been married,10,Not college grad,Not south,SMSA,Central city,Manufacturing,Operatives,Nonunion,6.44,40,17,14.42,Not south & Central city
86,215,36,White,Single,Never married,16,College grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,5.03,40,16,3.75,Not south & Not central city
87,218,35,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Professional services,Managers/Admin,Nonunion,4.83,38,10,2.08,Not south & Not central city
88,219,35,White,Single,Never married,13,Not college grad,Not south,SMSA,Central city,Professional services,Laborers,Nonunion,11.07,40,17,8.92,Not south & Central city
89,221,40,White,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Manufacturing,Professional/Technical,Nonunion,8.32,35,9,1.83,Not south & Not central city
90,223,37,White,Single,Has been married,16,College grad,Not south,SMSA,Not central city,Entertainment/Rec svc,Professional/Technical,Nonunion,13.08,40,16,8.75,Not south & Not central city
91,224,38,White,Married,Has been married,13,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,Union,5.63,40,11,4.67,Not south & Not central city
92,225,35,White,Single,Has been married,16,College grad,Not south,SMSA,Not central city,Manufacturing,Managers/Admin,Nonunion,12.56,45,17,15.75,Not south & Not central city
93,226,34,White,Married,Has been married,16,College grad,South,SMSA,Not central city,Public administration,Professional/Technical,Nonunion,6.68,40,8,6.67,South & Not central city
94,227,42,White,Single,Has been married,15,Not college grad,South,SMSA,Central city,Manufacturing,Sales,Nonunion,5.64,40,19,1.33,South & Central city
95,228,42,White,Married,Has been married,16,College grad,South,SMSA,Not central city,Finance/Ins/Real estate,Sales,Nonunion,4.03,15,5,0.33,South & Not central city
96,231,42,White,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Business/Repair svc,Sales,Nonunion,18.07,30,11,9.83,Not south & Not central city
97,233,36,White,Married,Has been married,16,College grad,Not south,Not SMSA,Not central city,Professional services,Professional/Technical,Nonunion,5.81,40,14,13.92,Not south & Not central city
98,236,36,White,Married,Has been married,18,College grad,Not south,SMSA,Central city,Professional services,Professional/Technical,Nonunion,24.66,20,9,3.75,Not south & Central city
99,237,36,White,Single,Never married,17,College grad,Not south,SMSA,Central city,Professional services,Sales,Union,7.21,40,12,1.75,Not south & Central city
100,242,39,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Operatives,Union,4.69,24,15,8.75,Not south & Not central city
101,243,35,White,Married,Has been married,18,College grad,Not south,SMSA,Not central city,Public administration,Managers/Admin,Union,12.7,40,17,8.58,Not south & Not central city
102,244,36,White,Single,Never married,13,Not college grad,South,Not SMSA,Not central city,Finance/Ins/Real estate,Professional/Technical,Nonunion,9.57,40,16,11.25,South & Not central city
103,245,36,White,Married,Has been married,15,Not college grad,Not south,SMSA,Central city,Professional services,Professional/Technical,Nonunion,6.19,40,10,1.0,Not south & Central city
104,250,44,White,Married,Has been married,18,College grad,South,SMSA,Not central city,Professional services,Other,Nonunion,7.68,50,9,3.92,South & Not central city
105,254,39,White,Single,Has been married,12,Not college grad,South,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,9.81,40,16,9.75,South & Not central city
106,255,45,Black,Married,Has been married,14,Not college grad,Not south,SMSA,Central city,Transport/Comm/Utility,Sales,Nonunion,4.03,40,25,24.75,Not south & Central city
107,257,38,Black,Married,Has been married,16,College grad,South,SMSA,Central city,Professional services,Professional/Technical,Union,11.61,40,12,2.75,South & Central city
108,260,38,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Laborers,Nonunion,6.96,40,11,2.5,Not south & Not central city
109,261,41,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,Union,4.26,40,5,2.83,Not south & Not central city
110,262,44,White,Single,Has been married,14,Not college grad,South,SMSA,Not central city,Professional services,Managers/Admin,NotMentioned,4.51,40,15,1.25,South & Not central city
111,265,44,White,Single,Has been married,14,Not college grad,South,SMSA,Central city,Professional services,Professional/Technical,Nonunion,9.23,40,11,0.75,South & Central city
112,269,40,White,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Professional services,Other,Union,3.32,14,8,1.75,Not south & Not central city
113,270,38,White,Married,Has been married,16,College grad,Not south,SMSA,Central city,Professional services,Laborers,Union,8.05,40,16,10.67,Not south & Central city
114,271,36,White,Single,Never married,11,Not college grad,Not south,SMSA,Central city,Wholesale/Retail trade,Sales,Nonunion,5.11,40,11,11.33,Not south & Central city
115,273,42,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Business/Repair svc,Laborers,NotMentioned,3.55,20,9,0.33,Not south & Not central city
116,275,38,White,Married,Has been married,10,Not college grad,Not south,SMSA,Central city,Manufacturing,Operatives,NotMentioned,1.0,16,7,1.0,Not south & Central city
117,276,35,White,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Wholesale/Retail trade,Sales,Nonunion,7.32,22,16,16.17,Not south & Central city
118,279,35,White,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Other,NotMentioned,9.89,55,16,6.25,Not south & Not central city
119,285,38,White,Married,Has been married,13,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,Nonunion,5.89,50,10,2.58,Not south & Not central city
120,287,41,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Laborers,Union,4.86,15,6,0.75,Not south & Not central city
121,289,44,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Construction,Sales,NotMentioned,2.8,46,19,0.75,Not south & Not central city
122,291,42,White,Single,Has been married,12,Not college grad,Not south,SMSA,Central city,Professional services,Laborers,NotMentioned,3.05,40,8,4.58,Not south & Central city
123,294,34,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,Nonunion,5.64,30,16,1.75,Not south & Not central city
124,296,44,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Laborers,Nonunion,8.81,32,15,11.42,Not south & Not central city
125,298,37,White,Married,Has been married,16,College grad,South,SMSA,Central city,Finance/Ins/Real estate,Managers/Admin,Nonunion,23.24,40,12,2.25,South & Central city
126,299,41,Black,Single,Has been married,16,College grad,Not south,SMSA,Central city,Finance/Ins/Real estate,Professional/Technical,Nonunion,12.22,38,12,6.75,Not south & Central city
127,301,38,White,Single,Never married,18,College grad,Not south,SMSA,Not central city,Professional services,Managers/Admin,Nonunion,12.97,40,15,6.5,Not south & Not central city
128,305,40,White,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Professional services,Managers/Admin,Nonunion,15.79,40,16,15.5,Not south & Not central city
129,306,37,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,Nonunion,6.96,40,17,13.42,Not south & Not central city
130,307,35,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Clerical/Unskilled,NotMentioned,4.39,22,14,2.33,Not south & Not central city
131,308,37,White,Married,Has been married,18,College grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,NotMentioned,11.15,50,14,0.75,Not south & Not central city
132,312,36,White,Married,Has been married,15,College grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,9.66,16,10,0.67,Not south & Not central city
133,315,38,White,Single,Has been married,16,College grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Clerical/Unskilled,Nonunion,29.73,50,15,1.5,Not south & Not central city
134,319,45,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Laborers,Union,4.49,18,8,2.67,Not south & Not central city
135,322,41,White,Single,Has been married,14,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Operatives,NotMentioned,6.69,16,12,0.83,Not south & Not central city
136,324,44,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Sales,NotMentioned,5.85,25,7,0.92,Not south & Not central city
137,325,34,White,Single,Never married,12,Not college grad,South,SMSA,Not central city,Transport/Comm/Utility,Laborers,Union,4.61,60,16,3.25,South & Not central city
138,327,38,White,Single,Has been married,9,Not college grad,Not south,SMSA,Central city,Business/Repair svc,Laborers,Nonunion,4.03,30,4,0.0,Not south & Central city
139,329,42,Black,Single,Never married,14,Not college grad,Not south,SMSA,Central city,Professional services,Professional/Technical,Union,12.18,40,19,2.5,Not south & Central city
140,330,43,Black,Single,Has been married,16,College grad,South,Not SMSA,Not central city,Professional services,Sales,Union,4.75,40,16,0.67,South & Not central city
141,331,37,Black,Single,Has been married,15,Not college grad,Not south,SMSA,Central city,Manufacturing,Operatives,Union,8.05,40,13,12.42,Not south & Central city
142,332,36,Black,Single,Never married,9,Not college grad,Not south,SMSA,Central city,Manufacturing,Operatives,Nonunion,7.45,40,11,4.75,Not south & Central city
143,333,35,Black,Married,Has been married,16,College grad,Not south,SMSA,Central city,Professional services,Professional/Technical,Union,8.52,40,14,11.5,Not south & Central city
144,338,41,White,Married,Has been married,14,Not college grad,Not south,Not SMSA,Not central city,Professional services,Sales,Nonunion,7.25,18,9,1.33,Not south & Not central city
145,341,41,Black,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,11.97,40,18,6.17,Not south & Not central city
146,345,45,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,Nonunion,8.81,32,10,5.08,Not south & Not central city
147,347,36,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Sales,Nonunion,11.07,40,17,17.0,Not south & Not central city
148,350,39,Black,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,9.68,40,17,2.42,Not south & Not central city
149,352,35,White,Married,Has been married,13,Not college grad,Not south,SMSA,Central city,Finance/Ins/Real estate,Sales,Nonunion,3.54,20,14,14.17,Not south & Central city
150,354,36,White,Single,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Laborers,Nonunion,4.42,35,7,2.5,Not south & Not central city
151,356,43,White,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Business/Repair svc,Managers/Admin,Nonunion,7.32,40,10,9.75,Not south & Not central city
152,358,45,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Managers/Admin,Nonunion,8.05,40,24,17.42,Not south & Not central city
153,359,44,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,10.84,40,15,6.0,Not south & Not central city
154,360,37,White,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Manufacturing,Sales,NotMentioned,38.71,40,15,10.75,Not south & Central city
155,363,41,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Managers/Admin,Nonunion,9.9,36,12,9.25,Not south & Not central city
156,367,37,White,Married,Has been married,13,Not college grad,Not south,Not SMSA,Not central city,Professional services,Sales,Union,10.35,35,8,8.08,Not south & Not central city
157,376,41,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Sales,Nonunion,11.51,42,18,17.5,Not south & Not central city
158,377,38,White,Married,Has been married,16,College grad,South,SMSA,Central city,Finance/Ins/Real estate,Clerical/Unskilled,Nonunion,23.82,65,14,3.83,South & Central city
159,379,43,White,Single,Never married,13,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,7.55,40,22,20.17,Not south & Not central city
160,382,42,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Public administration,Managers/Admin,Union,7.96,35,21,1.58,Not south & Not central city
161,384,41,White,Married,Has been married,13,Not college grad,Not south,SMSA,Not central city,Professional services,Other,Nonunion,4.83,25,7,0.0,Not south & Not central city
162,389,40,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,Nonunion,5.47,15,2,0.08,Not south & Not central city
163,392,43,White,Married,Has been married,8,Not college grad,Not south,SMSA,Not central city,Manufacturing,Operatives,Union,8.05,40,9,2.75,Not south & Not central city
164,395,36,White,Single,Never married,16,College grad,Not south,Not SMSA,Not central city,Manufacturing,Clerical/Unskilled,Nonunion,6.55,40,16,13.75,Not south & Not central city
165,396,37,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Professional services,Laborers,Nonunion,3.26,32,14,1.92,Not south & Not central city
166,397,37,White,Married,Has been married,13,Not college grad,Not south,SMSA,Not central city,Manufacturing,Sales,Nonunion,4.83,20,13,0.75,Not south & Not central city
167,398,35,White,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,Nonunion,8.41,40,11,6.42,Not south & Not central city
168,399,37,White,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Manufacturing,Managers/Admin,Nonunion,16.53,40,17,0.0,Not south & Not central city
169,402,36,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Operatives,Union,6.18,40,14,9.25,Not south & Not central city
170,403,40,White,Single,Never married,12,Not college grad,Not south,SMSA,Not central city,Public administration,Sales,Nonunion,5.73,40,11,10.5,Not south & Not central city
171,406,36,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Sales,Nonunion,6.28,40,13,0.5,Not south & Not central city
172,407,37,White,Married,Has been married,18,College grad,Not south,Not SMSA,Not central city,Professional services,Professional/Technical,NotMentioned,1.03,15,9,4.58,Not south & Not central city
173,409,36,White,Married,Has been married,14,Not college grad,Not south,SMSA,Central city,Professional services,Sales,NotMentioned,5.96,26,12,1.67,Not south & Central city
174,410,43,White,Single,Has been married,14,Not college grad,Not south,Not SMSA,Not central city,Professional services,Professional/Technical,Nonunion,10.19,42,12,2.5,Not south & Not central city
175,414,36,White,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Sales,Nonunion,5.52,39,15,5.5,Not south & Not central city
176,415,35,White,Single,Never married,15,Not college grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,5.79,50,9,3.33,Not south & Not central city
177,417,34,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Personal services,Laborers,Nonunion,3.34,20,8,0.17,Not south & Not central city
178,419,36,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Sales,Nonunion,6.28,40,9,2.33,Not south & Not central city
179,422,36,White,Single,Never married,11,Not college grad,Not south,SMSA,Not central city,Personal services,Transport,Nonunion,1.72,35,13,7.17,Not south & Not central city
180,423,42,White,Single,Has been married,12,Not college grad,South,Not SMSA,Not central city,Personal services,Managers/Admin,Nonunion,3.49,30,12,5.17,South & Not central city
